"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1533","CT-01 - Interação com o botão Clique aqui","","Sun Mar 29 15:15:36 UTC 2026","passed","Sun Mar 29 15:15:38 UTC 2026","elementosBasicos","Features","",""
"","2822","CT-02 - Tentativa de cadastro sem aceitar os termos","","Sun Mar 29 15:15:38 UTC 2026","passed","Sun Mar 29 15:15:41 UTC 2026","formularioSimples","Features","",""
"","12464","CT-01 - Cadastro realizado com sucesso","","Sun Mar 29 15:15:26 UTC 2026","passed","Sun Mar 29 15:15:38 UTC 2026","formularioSimples","Features","",""
"","2773","CT-03 - Limpar campos do formulário","","Sun Mar 29 15:15:41 UTC 2026","passed","Sun Mar 29 15:15:44 UTC 2026","formularioSimples","Features","",""
"","3038","CT-05 - Validar obrigatoriedade do campo Email","","Sun Mar 29 15:15:47 UTC 2026","passed","Sun Mar 29 15:15:50 UTC 2026","formularioSimples","Features","",""
"","2048","CT-07 - Interação com o interruptor (switch) desativado","","Sun Mar 29 15:15:46 UTC 2026","passed","Sun Mar 29 15:15:49 UTC 2026","elementosBasicos","Features","",""
"","1812","CT-02 - Interação com o botão Duplo Clique","","Sun Mar 29 15:15:38 UTC 2026","passed","Sun Mar 29 15:15:39 UTC 2026","elementosBasicos","Features","",""
"","3126","CT-04 - Validar obrigatoriedade do campo Nome","","Sun Mar 29 15:15:44 UTC 2026","passed","Sun Mar 29 15:15:47 UTC 2026","formularioSimples","Features","",""
"","1675","CT-03 - Interação com o campo de texto","","Sun Mar 29 15:15:39 UTC 2026","passed","Sun Mar 29 15:15:41 UTC 2026","elementosBasicos","Features","",""
"","1880","CT-06 - Interação com o interruptor (switch) ativado","","Sun Mar 29 15:15:45 UTC 2026","passed","Sun Mar 29 15:15:46 UTC 2026","elementosBasicos","Features","",""
"","1931","CT-06 - Validar obrigatoriedade do campo Senha","","Sun Mar 29 15:15:50 UTC 2026","passed","Sun Mar 29 15:15:52 UTC 2026","formularioSimples","Features","",""
"","1796","CT-04 - Interação com o dropdown customizado","","Sun Mar 29 15:15:41 UTC 2026","passed","Sun Mar 29 15:15:43 UTC 2026","elementosBasicos","Features","",""
"","10369","CT-00 - Validação visualizar página inicial","","Sun Mar 29 15:15:26 UTC 2026","passed","Sun Mar 29 15:15:36 UTC 2026","elementosBasicos","Features","",""
"","2531","CT-07 - Validar erro de confirmação de senha divergente","","Sun Mar 29 15:15:52 UTC 2026","passed","Sun Mar 29 15:15:54 UTC 2026","formularioSimples","Features","",""
"","1636","CT-05 - Interação com o slider de intervalo","","Sun Mar 29 15:15:43 UTC 2026","passed","Sun Mar 29 15:15:45 UTC 2026","elementosBasicos","Features","",""
